scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,synonym_ratio,synonym_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.05,middle,300,0.86,0.937984496124031,0.8066666666666666,0.7433333333333333,0.12333333333333334,0.07,1.0066666666666666,0.0,6.149390947330257
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.05,random,300,0.87,0.946360153256705,0.8233333333333334,0.7066666666666667,0.1,0.07666666666666666,1.06,0.0,5.921536638990902
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.05,start,300,0.8866666666666667,0.9624060150375939,0.8533333333333334,0.78,0.08,0.06666666666666667,0.86,0.0,6.344583891372971
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.1,end,300,0.8766666666666667,0.9277566539923955,0.8133333333333334,0.7033333333333334,0.11666666666666667,0.07,1.02,0.0,5.879776673039585
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.1,middle,300,0.8466666666666667,0.9448818897637795,0.8,0.7133333333333334,0.11333333333333333,0.08666666666666667,1.11,0.0,5.859227718367207
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.1,random,300,0.8333333333333334,0.904,0.7533333333333333,0.5866666666666667,0.15,0.09666666666666666,1.3566666666666667,0.0,5.431013557743134
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.1,start,300,0.8766666666666667,0.9657794676806084,0.8466666666666667,0.7566666666666667,0.08,0.07333333333333333,0.9133333333333333,0.0,6.1426046187801875
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.15,end,300,0.8666666666666667,0.8846153846153846,0.7666666666666667,0.6033333333333334,0.14333333333333334,0.09,1.2366666666666666,0.0,5.575110180051458
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.15,middle,300,0.82,0.9227642276422764,0.7566666666666667,0.6666666666666666,0.15666666666666668,0.08666666666666667,1.27,0.0,5.556736377285264
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.15,random,300,0.78,0.8162393162393162,0.6366666666666667,0.35333333333333333,0.24666666666666667,0.11666666666666667,1.9433333333333334,0.0,4.9304490359023205
