scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,deletion_percent,deletion_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.05,start,300,0.9166666666666666,0.9781818181818182,0.8966666666666666,0.06,0.043333333333333335,0.55,0.0,6.933675258015554
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.1,end,300,0.91,0.9743589743589743,0.8866666666666667,0.06,0.05333333333333334,0.6466666666666666,0.0,6.522284408974083
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.1,middle,300,0.9066666666666666,0.9742647058823529,0.8833333333333333,0.06,0.056666666666666664,0.6933333333333334,0.0,6.454004402066033
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.1,random,300,0.5433333333333333,0.3803680981595092,0.20666666666666667,0.6,0.19333333333333333,4.036666666666667,0.0,3.900535090191662
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.1,start,300,0.93,0.967741935483871,0.9,0.056666666666666664,0.043333333333333335,0.56,0.0,6.811235271548652
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.15,end,300,0.9066666666666666,0.9705882352941176,0.88,0.06333333333333334,0.056666666666666664,0.69,0.0,6.320165886118067
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.15,middle,300,0.9066666666666666,0.9705882352941176,0.88,0.05,0.07,0.7366666666666667,0.0,6.2471052497047
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.15,random,300,0.16,0.125,0.02,0.23,0.75,6.76,0.0,2.823451901527553
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.15,start,300,0.93,0.96415770609319,0.8966666666666666,0.06333333333333334,0.04,0.5766666666666667,0.0,6.634433828503491
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.2,end,300,0.9033333333333333,0.9520295202952029,0.86,0.07333333333333333,0.06666666666666667,0.8033333333333333,0.0,6.100037390618341
